Sale_ID,Date,Store_ID,Product_ID,Customer_ID,Quantity,Price,Total Price,Discount_Percent,Discount_Amount,Total Revenue,Region,Channel,Payment_Mode
SALE00058,8/13/2023,STORE027,PROD0110,CUST0352,3,4730.13,14190.39,15,2128.5585,12061.8315,North,In-Store,Card
SALE00059,5/6/2023,STORE044,PROD0071,CUST0077,1,2543.1,2543.1,5,127.155,2415.945,South,In-Store,UPI
SALE00060,7/10/2022,STORE050,PROD0120,CUST0931,1,1781,1781,5,89.05,1691.95,East,Online,Cash
SALE00061,11/12/2022,STORE042,PROD0040,CUST0507,1,5094.85,5094.85,15,764.2275,4330.6225,North,In-Store,UPI
SALE00062,9/15/2024,STORE001,PROD0145,CUST0306,3,373.69,1121.07,15,168.1605,952.9095,North,Online,Cash
SALE00063,1/26/2023,STORE007,PROD0186,CUST0729,5,293.57,1467.85,20,293.57,1174.28,South,Online,Card
SALE00064,4/29/2024,STORE037,PROD0057,CUST0148,3,2738.29,8214.87,10,821.487,7393.383,West,In-Store,Card
SALE00065,9/29/2024,STORE031,PROD0014,CUST0038,3,922.22,2766.66,5,138.333,2628.327,South,In-Store,UPI
SALE00066,2/12/2024,STORE033,PROD0299,CUST0153,4,401.87,1607.48,15,241.122,1366.358,South,In-Store,Card
SALE00067,4/24/2023,STORE001,PROD0060,CUST0905,2,896.6,1793.2,15,268.98,1524.22,North,Online,Cash
SALE00068,2/20/2024,STORE046,PROD0214,CUST0761,4,301.64,1206.56,15,180.984,1025.576,North,Online,Cash
SALE00069,11/11/2023,STORE037,PROD0044,CUST0250,1,1130.97,1130.97,0,0,1130.97,West,In-Store,Card
SALE00070,2/1/2022,STORE042,PROD0052,CUST0248,5,848.56,4242.8,5,212.14,4030.66,North,In-Store,UPI
SALE00071,6/27/2023,STORE027,PROD0216,CUST0504,2,4209.22,8418.44,10,841.844,7576.596,North,In-Store,UPI
SALE00072,12/28/2024,STORE016,PROD0031,CUST0671,1,2100.7,2100.7,15,315.105,1785.595,South,In-Store,UPI
SALE00073,3/15/2022,STORE014,PROD0094,CUST0339,4,4998.12,19992.48,20,3998.496,15993.984,South,Online,Card
SALE00074,7/5/2022,STORE046,PROD0022,CUST0067,3,782.45,2347.35,15,352.1025,1995.2475,North,Online,UPI
SALE00075,9/6/2023,STORE030,PROD0285,CUST0896,1,2166.35,2166.35,0,0,2166.35,West,Online,Cash
SALE00076,2/7/2024,STORE018,PROD0106,CUST0444,1,4134,4134,15,620.1,3513.9,North,Online,Card
SALE00077,1/4/2023,STORE011,PROD0158,CUST0772,5,3322.18,16610.9,5,830.545,15780.355,North,Online,Card
SALE00078,5/9/2023,STORE045,PROD0224,CUST0250,5,5271.62,26358.1,15,3953.715,22404.385,North,Online,Card
SALE00079,7/30/2024,STORE041,PROD0131,CUST0716,4,1292.96,5171.84,10,517.184,4654.656,East,Online,Cash
SALE00080,11/20/2022,STORE021,PROD0110,CUST0744,3,4850.41,14551.23,0,0,14551.23,East,In-Store,Cash
SALE00081,5/18/2024,STORE018,PROD0140,CUST0601,5,3208.88,16044.4,10,1604.44,14439.96,North,In-Store,Cash
SALE00082,9/16/2024,STORE028,PROD0220,CUST0709,2,2257.47,4514.94,0,0,4514.94,South,Online,Cash
SALE00083,8/29/2023,STORE010,PROD0097,CUST0856,5,4835.86,24179.3,10,2417.93,21761.37,East,Online,UPI
SALE00084,4/11/2022,STORE030,PROD0045,CUST0527,4,3862.29,15449.16,20,3089.832,12359.328,West,In-Store,Cash
SALE00085,12/23/2023,STORE037,PROD0072,CUST0994,2,4485.72,8971.44,5,448.572,8522.868,West,Online,UPI
SALE00086,10/8/2022,STORE018,PROD0277,CUST0339,3,2731.78,8195.34,0,0,8195.34,North,Online,Cash
SALE00087,1/18/2024,STORE004,PROD0290,CUST0453,4,1322.68,5290.72,5,264.536,5026.184,East,Online,Cash
SALE00088,12/26/2022,STORE042,PROD0227,CUST0591,3,1023.24,3069.72,5,153.486,2916.234,North,Online,UPI
SALE00089,7/13/2023,STORE010,PROD0299,CUST0704,3,417.28,1251.84,5,62.592,1189.248,East,In-Store,Cash
SALE00090,11/25/2023,STORE047,PROD0124,CUST0695,3,1537.11,4611.33,0,0,4611.33,South,In-Store,Card
SALE00091,4/8/2023,STORE026,PROD0064,CUST0746,2,1399.63,2799.26,15,419.889,2379.371,South,In-Store,Card
SALE00092,9/11/2022,STORE036,PROD0185,CUST0976,4,1964.02,7856.08,15,1178.412,6677.668,South,In-Store,UPI
SALE00093,1/31/2024,STORE019,PROD0057,CUST0687,3,2640.6,7921.8,0,0,7921.8,East,Online,Cash
SALE00094,11/3/2023,STORE036,PROD0085,CUST0371,1,393.01,393.01,20,78.602,314.408,South,Online,UPI
SALE00095,8/8/2024,STORE049,PROD0161,CUST0975,1,1612.51,1612.51,10,161.251,1451.259,East,In-Store,Card
SALE00096,3/18/2022,STORE045,PROD0027,CUST0574,2,400.74,801.48,10,80.148,721.332,North,In-Store,Card
SALE00097,10/5/2022,STORE040,PROD0056,CUST0906,1,1774.39,1774.39,15,266.1585,1508.2315,North,In-Store,Cash
SALE00098,11/13/2022,STORE023,PROD0254,CUST0411,5,1651.86,8259.3,15,1238.895,7020.405,South,Online,Cash
SALE00099,7/27/2023,STORE010,PROD0222,CUST0938,5,1440.74,7203.7,0,0,7203.7,East,In-Store,Card
SALE00100,4/29/2023,STORE028,PROD0229,CUST0881,4,2204.7,8818.8,10,881.88,7936.92,South,Online,UPI
SALE00101,1/5/2024,STORE027,PROD0070,CUST0577,3,1551.83,4655.49,0,0,4655.49,North,In-Store,Cash
SALE00102,7/20/2024,STORE013,PROD0067,CUST0288,2,3762.54,7525.08,0,0,7525.08,South,Online,UPI
SALE00103,4/14/2022,STORE035,PROD0080,CUST0172,5,5055.21,25276.05,10,2527.605,22748.445,North,Online,Card
SALE00104,3/1/2023,STORE041,PROD0265,CUST0863,5,206.73,1033.65,20,206.73,826.92,East,Online,Card
SALE00105,1/6/2022,STORE007,PROD0178,CUST0090,3,2965.04,8895.12,10,889.512,8005.608,South,Online,Card
SALE00106,12/24/2022,STORE010,PROD0252,CUST0040,5,1073.55,5367.75,0,0,5367.75,East,Online,Card
SALE00107,5/3/2023,STORE011,PROD0201,CUST0656,1,586.57,586.57,20,117.314,469.256,North,In-Store,Card
SALE00108,9/17/2022,STORE031,PROD0265,CUST0383,2,209.37,418.74,15,62.811,355.929,South,Online,UPI
SALE00109,1/12/2024,STORE041,PROD0284,CUST0935,1,4074.08,4074.08,20,814.816,3259.264,East,Online,Cash
SALE00110,3/30/2022,STORE046,PROD0056,CUST0058,5,1769.43,8847.15,20,1769.43,7077.72,North,In-Store,Cash
SALE00111,9/7/2024,STORE009,PROD0050,CUST0094,1,1859.54,1859.54,15,278.931,1580.609,East,In-Store,UPI
SALE00112,6/27/2024,STORE005,PROD0226,CUST0643,1,663.88,663.88,0,0,663.88,North,Online,Cash
SALE00113,9/16/2022,STORE007,PROD0033,CUST0805,5,833.92,4169.6,10,416.96,3752.64,South,In-Store,Cash
SALE00114,7/18/2024,STORE026,PROD0008,CUST0576,5,3068.53,15342.65,20,3068.53,12274.12,South,In-Store,Card
SALE00115,3/17/2023,STORE019,PROD0215,CUST0307,1,1273.89,1273.89,15,191.0835,1082.8065,East,In-Store,Card
SALE00116,7/17/2024,STORE009,PROD0181,CUST0594,4,3357,13428,15,2014.2,11413.8,East,In-Store,UPI
SALE00117,10/3/2023,STORE048,PROD0082,CUST0710,1,188.11,188.11,10,18.811,169.299,North,In-Store,Card
SALE00118,6/24/2022,STORE040,PROD0231,CUST0044,4,2804.6,11218.4,0,0,11218.4,North,In-Store,Card
SALE00119,5/3/2022,STORE020,PROD0212,CUST0588,3,934.95,2804.85,20,560.97,2243.88,West,In-Store,UPI
SALE00120,5/16/2024,STORE007,PROD0079,CUST0988,1,2694.03,2694.03,0,0,2694.03,South,In-Store,UPI
SALE00121,11/5/2024,STORE011,PROD0129,CUST0154,3,4072.03,12216.09,5,610.8045,11605.2855,North,Online,UPI
SALE00122,8/10/2022,STORE005,PROD0123,CUST0346,4,743.49,2973.96,10,297.396,2676.564,North,In-Store,Card
SALE00123,5/28/2024,STORE015,PROD0001,CUST0212,3,655.09,1965.27,20,393.054,1572.216,East,Online,UPI
SALE00124,7/14/2023,STORE030,PROD0272,CUST0885,3,3002.41,9007.23,10,900.723,8106.507,West,In-Store,Cash
SALE00125,10/21/2022,STORE045,PROD0105,CUST0554,1,402.84,402.84,20,80.568,322.272,North,In-Store,Card
SALE00126,3/4/2022,STORE002,PROD0197,CUST0572,2,1688.08,3376.16,0,0,3376.16,East,Online,Cash
SALE00127,11/19/2022,STORE032,PROD0102,CUST0322,4,1216.18,4864.72,10,486.472,4378.248,West,In-Store,UPI
SALE00128,6/23/2022,STORE009,PROD0103,CUST0399,3,142.73,428.19,0,0,428.19,East,Online,Card
SALE00129,6/17/2022,STORE033,PROD0049,CUST0442,5,1039.05,5195.25,10,519.525,4675.725,South,In-Store,UPI
SALE00130,6/24/2024,STORE039,PROD0280,CUST0874,4,4015.39,16061.56,15,2409.234,13652.326,East,In-Store,Card
SALE00131,5/30/2024,STORE050,PROD0227,CUST0358,5,899.68,4498.4,0,0,4498.4,East,In-Store,UPI
SALE00132,9/24/2023,STORE010,PROD0153,CUST0532,5,1302.97,6514.85,0,0,6514.85,East,Online,Cash
SALE00133,2/23/2023,STORE028,PROD0017,CUST0870,5,1593.55,7967.75,10,796.775,7170.975,South,Online,Card
SALE00134,9/3/2022,STORE020,PROD0204,CUST0337,3,3613.58,10840.74,0,0,10840.74,West,In-Store,UPI
SALE00135,2/18/2024,STORE010,PROD0069,CUST0931,4,3030.51,12122.04,20,2424.408,9697.632,East,Online,UPI
SALE00136,12/27/2023,STORE011,PROD0108,CUST0461,5,3603.2,18016,0,0,18016,North,In-Store,UPI
SALE00137,7/30/2024,STORE037,PROD0206,CUST0439,1,4020.83,4020.83,0,0,4020.83,West,In-Store,UPI
SALE00138,5/5/2024,STORE047,PROD0251,CUST0216,4,103.49,413.96,10,41.396,372.564,South,Online,Cash
SALE00139,12/18/2022,STORE050,PROD0190,CUST0969,1,3889.5,3889.5,20,777.9,3111.6,East,In-Store,UPI
SALE00140,8/5/2022,STORE013,PROD0076,CUST0541,3,3876.22,11628.66,5,581.433,11047.227,South,In-Store,UPI
SALE00141,3/21/2024,STORE043,PROD0179,CUST0238,4,1487.71,5950.84,10,595.084,5355.756,East,In-Store,Card
SALE00142,6/6/2022,STORE026,PROD0113,CUST0760,3,2211.52,6634.56,20,1326.912,5307.648,South,Online,UPI
SALE00143,12/17/2023,STORE015,PROD0008,CUST0890,5,2863.18,14315.9,10,1431.59,12884.31,East,Online,Card
SALE00144,2/9/2023,STORE040,PROD0034,CUST0453,1,1046.92,1046.92,5,52.346,994.574,North,Online,UPI
SALE00145,10/8/2024,STORE007,PROD0047,CUST0746,1,4279,4279,15,641.85,3637.15,South,In-Store,UPI
SALE00146,10/24/2023,STORE017,PROD0055,CUST0671,5,4628,23140,10,2314,20826,North,Online,Cash
SALE00147,9/13/2023,STORE032,PROD0039,CUST0492,1,2350.38,2350.38,10,235.038,2115.342,West,Online,Cash
SALE00148,8/3/2024,STORE023,PROD0076,CUST0183,5,3864.44,19322.2,15,2898.33,16423.87,South,Online,Card
SALE00149,6/7/2022,STORE045,PROD0299,CUST0685,3,442.23,1326.69,0,0,1326.69,North,In-Store,Cash
SALE00150,3/26/2022,STORE035,PROD0128,CUST0943,5,351.66,1758.3,15,263.745,1494.555,North,Online,Cash
SALE00151,11/5/2022,STORE046,PROD0119,CUST0523,5,395.06,1975.3,0,0,1975.3,North,In-Store,Card
SALE00152,6/22/2022,STORE006,PROD0158,CUST0640,3,3707.91,11123.73,20,2224.746,8898.984,North,Online,Card
SALE00153,6/18/2024,STORE038,PROD0191,CUST0950,2,153.5,307,20,61.4,245.6,East,Online,Cash
SALE00154,3/4/2024,STORE036,PROD0190,CUST0221,3,3855.15,11565.45,15,1734.8175,9830.6325,South,In-Store,UPI
SALE00155,11/17/2023,STORE027,PROD0278,CUST0148,5,2577.81,12889.05,0,0,12889.05,North,In-Store,Card
SALE00156,8/5/2023,STORE045,PROD0116,CUST0549,5,2473.63,12368.15,10,1236.815,11131.335,North,Online,Cash
SALE00157,10/17/2022,STORE025,PROD0287,CUST0313,1,3805.86,3805.86,10,380.586,3425.274,North,In-Store,UPI
SALE00158,6/23/2022,STORE026,PROD0075,CUST0398,4,4041.57,16166.28,10,1616.628,14549.652,South,In-Store,UPI
SALE00159,12/14/2024,STORE028,PROD0060,CUST0188,3,939.28,2817.84,0,0,2817.84,South,In-Store,UPI
SALE00160,9/25/2023,STORE011,PROD0037,CUST0906,3,2901.96,8705.88,5,435.294,8270.586,North,Online,Cash
SALE00161,10/9/2022,STORE039,PROD0251,CUST0539,4,95.71,382.84,5,19.142,363.698,East,Online,Cash
SALE00162,12/14/2024,STORE042,PROD0174,CUST0275,1,1569.37,1569.37,0,0,1569.37,North,In-Store,UPI
SALE00163,11/12/2022,STORE011,PROD0194,CUST0259,2,281.92,563.84,5,28.192,535.648,North,Online,UPI
SALE00164,12/6/2022,STORE044,PROD0256,CUST0387,5,2765.75,13828.75,15,2074.3125,11754.4375,South,Online,Cash
SALE00165,5/2/2023,STORE037,PROD0040,CUST0556,3,5123.21,15369.63,15,2305.4445,13064.1855,West,In-Store,UPI
SALE00166,5/5/2023,STORE042,PROD0047,CUST0812,4,4331.02,17324.08,10,1732.408,15591.672,North,In-Store,Card
SALE00167,6/21/2024,STORE022,PROD0044,CUST0960,3,1265.93,3797.79,15,569.6685,3228.1215,West,In-Store,Cash
SALE00168,11/28/2022,STORE021,PROD0053,CUST0102,5,2866.36,14331.8,5,716.59,13615.21,East,Online,Cash
SALE00169,1/31/2024,STORE016,PROD0242,CUST0215,1,730.73,730.73,20,146.146,584.584,South,Online,UPI
SALE00170,8/7/2023,STORE043,PROD0164,CUST0127,5,5343.06,26715.3,0,0,26715.3,East,Online,Cash
SALE00171,10/29/2022,STORE016,PROD0100,CUST0881,4,1298.38,5193.52,15,779.028,4414.492,South,Online,Card
SALE00172,2/24/2022,STORE033,PROD0076,CUST0862,4,4549.13,18196.52,15,2729.478,15467.042,South,Online,Cash
SALE00173,3/1/2024,STORE002,PROD0154,CUST0173,5,287.3,1436.5,0,0,1436.5,East,In-Store,Card
SALE00174,7/22/2022,STORE038,PROD0145,CUST0617,1,366.33,366.33,10,36.633,329.697,East,Online,Card
SALE00175,8/25/2024,STORE010,PROD0186,CUST0058,1,302.56,302.56,5,15.128,287.432,East,In-Store,Cash
SALE00176,6/12/2022,STORE006,PROD0285,CUST0012,5,1974.23,9871.15,0,0,9871.15,North,In-Store,Card
SALE00177,12/16/2024,STORE025,PROD0088,CUST0121,2,4138.51,8277.02,15,1241.553,7035.467,North,Online,Cash
SALE00178,4/8/2022,STORE011,PROD0033,CUST0253,2,861.34,1722.68,5,86.134,1636.546,North,In-Store,UPI
SALE00179,8/16/2022,STORE048,PROD0036,CUST0879,5,3247.28,16236.4,15,2435.46,13800.94,North,Online,UPI
SALE00180,10/22/2022,STORE023,PROD0201,CUST0413,5,612.75,3063.75,10,306.375,2757.375,South,In-Store,Card
SALE00181,5/3/2024,STORE018,PROD0272,CUST0650,5,3217.11,16085.55,5,804.2775,15281.2725,North,Online,UPI
SALE00182,12/13/2024,STORE048,PROD0054,CUST0566,3,3435.23,10305.69,20,2061.138,8244.552,North,Online,Cash
SALE00183,3/3/2024,STORE022,PROD0113,CUST0088,4,1903.37,7613.48,10,761.348,6852.132,West,In-Store,UPI
SALE00184,5/19/2022,STORE039,PROD0249,CUST0432,1,3026.96,3026.96,10,302.696,2724.264,East,Online,UPI
SALE00185,11/12/2023,STORE033,PROD0238,CUST0754,1,3569.95,3569.95,5,178.4975,3391.4525,South,Online,Cash
SALE00186,12/25/2022,STORE032,PROD0001,CUST0084,5,624.68,3123.4,15,468.51,2654.89,West,In-Store,UPI
SALE00187,5/10/2022,STORE005,PROD0282,CUST0176,2,3205.72,6411.44,15,961.716,5449.724,North,Online,Cash
SALE00188,2/13/2023,STORE036,PROD0031,CUST0128,2,1783.55,3567.1,0,0,3567.1,South,In-Store,Cash
SALE00189,8/27/2024,STORE028,PROD0277,CUST0990,5,2584.29,12921.45,10,1292.145,11629.305,South,Online,UPI
SALE00190,4/8/2022,STORE013,PROD0199,CUST0209,2,4312.03,8624.06,10,862.406,7761.654,South,In-Store,Card
SALE00191,3/30/2024,STORE010,PROD0088,CUST0885,3,4046.83,12140.49,15,1821.0735,10319.4165,East,In-Store,Cash
SALE00192,10/15/2024,STORE009,PROD0218,CUST0512,2,4366.16,8732.32,10,873.232,7859.088,East,In-Store,Card
SALE00193,1/5/2023,STORE049,PROD0118,CUST0555,4,4507.87,18031.48,20,3606.296,14425.184,East,In-Store,Cash
SALE00194,8/29/2023,STORE024,PROD0239,CUST0296,1,2027.47,2027.47,10,202.747,1824.723,East,In-Store,UPI
SALE00195,6/28/2024,STORE029,PROD0236,CUST0835,4,2555.84,10223.36,10,1022.336,9201.024,East,In-Store,Card
SALE00196,6/9/2024,STORE039,PROD0119,CUST0915,3,406.12,1218.36,10,121.836,1096.524,East,Online,Card
SALE00197,11/24/2022,STORE002,PROD0206,CUST0066,4,3961.44,15845.76,0,0,15845.76,East,Online,UPI
SALE00198,5/18/2022,STORE045,PROD0078,CUST0361,4,1752.41,7009.64,5,350.482,6659.158,North,In-Store,Cash
SALE00199,3/8/2022,STORE040,PROD0056,CUST0395,4,2042.22,8168.88,20,1633.776,6535.104,North,Online,UPI
SALE00200,2/1/2024,STORE028,PROD0204,CUST0969,4,4111.07,16444.28,15,2466.642,13977.638,South,Online,UPI
SALE00201,3/26/2024,STORE042,PROD0253,CUST0041,2,2959.26,5918.52,10,591.852,5326.668,North,In-Store,Card
SALE00202,1/17/2023,STORE040,PROD0061,CUST0301,1,1962.96,1962.96,15,294.444,1668.516,North,In-Store,UPI
SALE00203,6/18/2023,STORE040,PROD0004,CUST0569,1,3253.08,3253.08,15,487.962,2765.118,North,Online,UPI
SALE00204,10/2/2024,STORE004,PROD0213,CUST0058,3,654.1,1962.3,5,98.115,1864.185,East,Online,Card
SALE00205,6/30/2024,STORE012,PROD0127,CUST0590,1,4253.05,4253.05,0,0,4253.05,South,In-Store,UPI
SALE00206,8/18/2023,STORE005,PROD0286,CUST0767,3,2380.74,7142.22,10,714.222,6427.998,North,Online,UPI
SALE00207,11/7/2024,STORE037,PROD0269,CUST0101,2,3092.36,6184.72,5,309.236,5875.484,West,Online,Card
SALE00208,10/8/2024,STORE013,PROD0054,CUST0511,2,3562.38,7124.76,0,0,7124.76,South,In-Store,UPI
SALE00209,9/23/2022,STORE020,PROD0106,CUST0145,5,4199.15,20995.75,20,4199.15,16796.6,West,Online,Card
SALE00210,9/7/2024,STORE007,PROD0035,CUST0270,3,3466.84,10400.52,20,2080.104,8320.416,South,In-Store,Cash
SALE00211,10/12/2023,STORE021,PROD0085,CUST0250,5,351.11,1755.55,0,0,1755.55,East,In-Store,Cash
SALE00212,1/8/2023,STORE026,PROD0127,CUST0340,5,4160.7,20803.5,5,1040.175,19763.325,South,In-Store,UPI
SALE00213,11/27/2024,STORE049,PROD0089,CUST0945,1,2889.89,2889.89,5,144.4945,2745.3955,East,In-Store,Card
SALE00214,4/7/2023,STORE024,PROD0275,CUST0036,2,3775.43,7550.86,10,755.086,6795.774,East,In-Store,Card
SALE00215,7/17/2023,STORE029,PROD0091,CUST0591,3,4451.68,13355.04,5,667.752,12687.288,East,In-Store,UPI
SALE00216,12/12/2022,STORE033,PROD0217,CUST0608,5,1465.71,7328.55,20,1465.71,5862.84,South,Online,Card
SALE00217,11/23/2023,STORE037,PROD0098,CUST0262,5,2014.91,10074.55,20,2014.91,8059.64,West,Online,Card
SALE00218,6/27/2023,STORE001,PROD0255,CUST0201,1,2060.53,2060.53,5,103.0265,1957.5035,North,In-Store,UPI
SALE00219,8/17/2023,STORE037,PROD0007,CUST0218,1,1170.87,1170.87,10,117.087,1053.783,West,In-Store,Card
SALE00220,5/30/2022,STORE018,PROD0262,CUST0836,4,4571.76,18287.04,0,0,18287.04,North,Online,Cash
SALE00221,2/22/2023,STORE013,PROD0153,CUST0940,4,1302.34,5209.36,10,520.936,4688.424,South,Online,Cash
SALE00222,12/9/2023,STORE018,PROD0091,CUST0649,3,4961.56,14884.68,15,2232.702,12651.978,North,Online,Cash
